Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-03-28 07:52 (-07),On Demand,Christine D'Ercole,5,Cycling,Cool Down,5 min Cool Down Ride,2021-10-07 08:00 (-07),15,49,26%,91,11.84,0.99,25,97.00,,
2022-03-29 07:23 (-07),On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Warm Up Ride,2021-09-23 06:00 (-07),29,95,33%,98,15.77,1.31,33,106.00,,
2022-03-29 07:29 (-07),On Demand,Kendall Toole,15,Cycling,Music,15 min EDM Ride,2022-03-16 08:00 (-07),134,149,45%,81,18.48,4.62,155,132.00,,
2022-03-29 07:44 (-07),On Demand,Ben Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2021-09-29 22:25 (-07),30,101,42%,72,16.30,1.35,49,128.00,,
2022-03-30 07:54 (-07),On Demand,Denis Morton,20,Cycling,Intervals,20 min HIIT Ride,2022-03-29 13:52 (-07),194,162,44%,84,18.96,6.32,263,,,
2022-03-30 08:15 (-07),On Demand,Denis Morton,5,Cycling,Cool Down,5 min Cool Down Ride,2022-03-14 08:00 (-07),15,50,25%,93,11.94,0.99,20,,,
2022-03-31 07:42 (-07),On Demand,Sam Yo,5,Cycling,Warm Up,5 min Warm Up Ride,2021-09-22 22:00 (-07),32,106,35%,93,16.49,1.38,43,,,
2022-03-31 07:48 (-07),On Demand,Matt Wilpers,20,Cycling,Low Impact,20 min Recovery Ride,2022-03-03 09:00 (-07),93,77,31%,96,14.53,4.85,126,,,
2022-04-01 07:46 (-07),On Demand,,20,Cycling,Scenic Ride,20 min Hurricane Ridge Ride,,109,91,32%,95,15.49,5.16,147,,,
2022-04-01 08:09 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2022-03-31 23:00 (-07),32,108,40%,79,16.65,1.39,32,105.00,,
2022-04-02 08:31 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Warm Up,5 min Warm Up Ride,2022-03-31 23:00 (-07),26,85,32%,94,14.95,1.25,27,97.00,,
2022-04-02 08:37 (-07),On Demand,Olivia Amato,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-03-31 02:52 (-07),237,132,45%,68,15.77,7.89,327,134.00,,
